ShippingID,SaleID,ShippingMethod,ShippingCost,DeliveryDate,ShipmentStatus
1,2915,Standard,21.08,2024-10-01T00:00:00.000000000,In Transit
2,8702,Same Day,49.03,2025-04-10T00:00:00.000000000,In Transit
3,3536,Express,14.06,2024-11-03T00:00:00.000000000,Delayed
4,8599,Standard,11.98,2026-01-09T00:00:00.000000000,Delayed
5,8167,Express,45.47,2026-10-31T00:00:00.000000000,Delivered
6,2505,Express,75.69,2024-08-17T00:00:00.000000000,Delivered
7,5629,Express,44.78,2025-08-19T00:00:00.000000000,Delivered
8,7661,Express,37.82,2026-06-17T00:00:00.000000000,In Transit
9,7256,Same Day,63.25,2025-06-02T00:00:00.000000000,In Transit
10,8088,Same Day,75.88,2024-04-18T00:00:00.000000000,Delayed
11,5440,Same Day,55.4,2026-12-14T00:00:00.000000000,Delivered
12,4024,Express,71.39,2025-12-06T00:00:00.000000000,Delivered
13,3820,Same Day,7.69,2026-01-28T00:00:00.000000000,Delivered
14,564,Same Day,81.95,2024-05-28T00:00:00.000000000,In Transit
15,7033,Same Day,11.58,2024-11-16T00:00:00.000000000,In Transit
16,2571,Same Day,31.56,2024-09-16T00:00:00.000000000,Delivered
17,1245,Standard,85.97,2024-07-18T00:00:00.000000000,Delayed
18,4879,Standard,58.33,2025-03-22T00:00:00.000000000,In Transit
19,2442,Standard,39.99,2025-09-03T00:00:00.000000000,Delivered
20,1349,Same Day,45.11,2025-12-07T00:00:00.000000000,In Transit
21,6695,Standard,37.59,2024-09-26T00:00:00.000000000,Delivered
22,8451,Standard,45.36,2026-03-22T00:00:00.000000000,Delayed
23,1109,Standard,72.26,2025-11-27T00:00:00.000000000,In Transit
24,1146,Standard,62.89,2024-02-03T00:00:00.000000000,Delivered
25,6976,Standard,9.57,2025-09-14T00:00:00.000000000,Delayed
26,2353,Same Day,75.11,2026-06-28T00:00:00.000000000,In Transit
27,2363,Express,44.03,2026-03-25T00:00:00.000000000,In Transit
28,4778,Standard,88.52,2024-04-11T00:00:00.000000000,Delayed
29,1830,Standard,24.14,2024-02-09T00:00:00.000000000,In Transit
30,9785,Express,30.94,2025-04-12T00:00:00.000000000,Delivered
31,966,Standard,5.03,2025-05-16T00:00:00.000000000,In Transit
32,2538,Standard,23.09,2025-08-06T00:00:00.000000000,Delivered
33,9197,Same Day,53.54,2025-08-16T00:00:00.000000000,Delivered
34,6587,Standard,95.63,2026-07-27T00:00:00.000000000,Delayed
35,1100,Same Day,12.5,2026-07-24T00:00:00.000000000,Delayed
36,1221,Express,30.98,2026-07-17T00:00:00.000000000,Delayed
37,9171,Express,87.22,2024-06-02T00:00:00.000000000,Delivered
38,5361,Same Day,78.56,2026-01-09T00:00:00.000000000,In Transit
39,2203,Standard,70.83,2026-09-26T00:00:00.000000000,Delivered
40,4501,Standard,34.09,2026-10-17T00:00:00.000000000,Delivered
41,9061,Same Day,50.71,2026-03-27T00:00:00.000000000,In Transit
42,8022,Express,34.97,2024-01-11T00:00:00.000000000,In Transit
43,4429,Express,15.2,2025-12-31T00:00:00.000000000,In Transit
44,2017,Express,68.11,2026-08-01T00:00:00.000000000,Delivered
45,6439,Express,68.07,2025-04-04T00:00:00.000000000,In Transit
46,7144,Same Day,55.2,2026-10-26T00:00:00.000000000,In Transit
47,4562,Standard,85.16,2025-03-26T00:00:00.000000000,Delivered
48,9322,Express,48.98,2025-02-25T00:00:00.000000000,Delivered
49,3810,Same Day,30.62,2025-05-17T00:00:00.000000000,Delivered
50,3168,Same Day,21.07,2024-03-13T00:00:00.000000000,Delivered
51,9352,Standard,44.59,2025-02-19T00:00:00.000000000,In Transit
52,4936,Express,58.15,2025-02-09T00:00:00.000000000,In Transit
53,8101,Standard,35.07,2024-11-23T00:00:00.000000000,Delivered
54,1479,Same Day,47.52,2025-07-09T00:00:00.000000000,Delayed
55,3202,Express,94.63,2025-06-07T00:00:00.000000000,Delayed
56,5704,Express,82.58,2024-11-21T00:00:00.000000000,Delayed
57,8944,Express,59.01,2026-12-12T00:00:00.000000000,Delivered
58,6179,Standard,52.84,2025-11-28T00:00:00.000000000,Delivered
59,4552,Standard,22.03,2024-08-12T00:00:00.000000000,Delivered
60,4531,Express,20.33,2026-11-13T00:00:00.000000000,Delayed
61,3805,Standard,73.33,2025-03-15T00:00:00.000000000,Delivered
62,9510,Express,37.13,2026-09-08T00:00:00.000000000,Delayed
63,6877,Express,46.99,2024-10-22T00:00:00.000000000,Delayed
64,8802,Same Day,84.81,2024-03-01T00:00:00.000000000,Delivered
65,4455,Express,62.85,2026-06-06T00:00:00.000000000,Delivered
66,2534,Express,55.49,2026-08-19T00:00:00.000000000,Delayed
67,5385,Standard,53.61,2024-02-13T00:00:00.000000000,Delayed
