SupplierID,SupplierName,ContactInfo,Region,LocationID
1,Davis-Baldwin,fullervirginia@yahoo.com,East,60
2,Harvey Ltd,zmcfarland@hotmail.com,East,40
3,"Murray, Hicks and Patrick",jaredmendez@yahoo.com,North,197
4,"Mendoza, Ryan and Kim",richjames@adams-coleman.com,West,44
5,Brown-Brown,taylormargaret@ray.info,West,178
6,Frank Ltd,rwhite@yahoo.com,North,19
7,Bates-Becker,scampbell@ashley.info,West,162
8,Stein and Sons,rhondamorrison@yahoo.com,North,96
9,Andersen-Hanson,andrew78@yahoo.com,South,101
10,Brown-Gilbert,millerbrett@thompson.org,West,10
11,Foster Group,seanjordan@gallagher-ortiz.biz,East,71
12,Fischer-Nunez,jamesedwards@gmail.com,West,123
13,Warner Inc,hwilson@sparks-conley.biz,North,183
14,"Jones, Owen and Price",monicamejia@gmail.com,East,40
15,"Potter, Page and Cortez",mhaynes@jones.info,East,198
16,Beasley-Stewart,montoyatonya@flynn.org,South,198
17,Daniel-Hatfield,kevin05@rogers-ramirez.com,North,184
18,"Jarvis, Larson and Kemp",ryanjudith@hotmail.com,West,22
19,"Moore, Swanson and Henderson",kelsey96@hotmail.com,West,42
20,Spence-Smith,michaelsimpson@pope.com,West,78
21,Payne and Sons,edixon@white.biz,South,185
22,"Hernandez, Rodriguez and Shepherd",rebeccabrown@miller.biz,South,123
23,Houston-Avila,jeffrey50@carter.info,West,123
24,Taylor-Walker,tara48@hotmail.com,West,189
25,Lane Group,luissalas@morgan-allen.com,North,74
26,Collins-Hammond,william75@yahoo.com,East,189
27,Morrison-Ball,megan41@hotmail.com,North,10
28,Clark Inc,bowersthomas@joyce-martinez.com,East,198
29,"Rodriguez, Oneill and Schmidt",hpark@yahoo.com,East,74
30,"Kennedy, Patton and Lynch",hwade@howard.com,South,197
31,Mclaughlin PLC,qwilcox@rogers-hernandez.com,South,22
32,Richardson-Austin,jessica76@hotmail.com,South,130
33,"Aguilar, Ritter and Baird",brownaustin@hotmail.com,East,197
34,"Williams, Delgado and Friedman",samanthaadams@valdez.biz,South,62
35,Mayer-Roy,chenderson@yahoo.com,West,184
36,"Allen, Mcmillan and Powers",hhahn@holmes.org,West,44
37,Taylor-Huerta,karenhernandez@gmail.com,East,178
38,"Summers, Mcmahon and Burton",gonzalezroberto@yahoo.com,East,42
39,"Maxwell, Carter and Lara",ggray@yahoo.com,South,76
40,Mitchell-Wilson,matthew57@walters.com,East,184
